patch_id,center_lat,center_lon,timestamp,dem_mean_elev,dem_max_slope,dem_mean_slope,dem_aspect,image_path,rain_6h,soil_moisture_mean_6h,vib_rms_6h,porepressure_mean_6h,displacement_6h,label_rockfall_within_24h
175,1669793.4943637322,650094.585790423,2025-09-11T14:28:46.601113,459.97515869140625,0.9424233436584473,0.6140510439872742,270.3006591796875,,,,,,,
176,1669793.4943637322,650185.4903519016,2025-09-11T14:28:46.605789,461.1276550292969,1.5469152927398682,1.145079255104065,240.17742919921875,,,,,,,
177,1669793.4943637322,650276.3949133803,2025-09-11T14:28:46.610132,463.13427734375,1.66915762424469,1.3656474351882935,242.43031311035156,,,,,,,
178,1669793.4943637322,650367.299474859,2025-09-11T14:28:46.614611,464.48919677734375,1.8550546169281006,1.2821288108825684,243.12440490722656,,,,,,,
179,1669793.4943637322,650458.2040363377,2025-09-11T14:28:46.619957,466.7127380371094,1.781192660331726,1.2928009033203125,243.388916015625,,,,,,,
180,1669793.4943637322,650549.1085978163,2025-09-11T14:28:46.623729,468.2077941894531,1.6712397336959839,0.939429521560669,207.8640594482422,,,,,,,
181,1669793.4943637322,650640.013159295,2025-09-11T14:28:46.630674,467.42620849609375,1.8287605047225952,1.4371662139892578,47.767738342285156,,,,,,,
182,1669793.4943637322,650730.9177207736,2025-09-11T14:28:46.635874,466.0456848144531,1.2849056720733643,1.0347282886505127,46.916900634765625,,,,,,,
183,1669793.4943637322,650821.8222822523,2025-09-11T14:28:46.639561,465.1417236328125,1.8631162643432617,1.221881628036499,104.63555145263672,,,,,,,
184,1669793.4943637322,650912.726843731,2025-09-11T14:28:46.645060,464.0477294921875,1.6863747835159302,1.160041332244873,78.12018585205078,,,,,,,
185,1669793.4943637322,651003.6314052097,2025-09-11T14:28:46.648668,461.9970703125,1.9292067289352417,1.230654239654541,52.52128219604492,,,,,,,
186,1669793.4943637322,651094.5359666883,2025-09-11T14:28:46.653668,461.0618896484375,1.0051040649414062,0.8019995093345642,58.42915344238281,,,,,,,
